DEPTH,BS,BVW,CARB_FLAG,COAL_FLAG,DELTA,GRMAX,GRMIN,J,KLHC_INT,KLOGH,M,N,PERF_FLAG,PHIF,PORD,RHOFL,RHOMA,RW,SAND_FLAG,SW,SWIRR,TEMP,VSH
3678.7836,8.5,0.109785,0,0,0.2577,115,14,0,0,0,1.79,2.45,0,0.208589,0.208589,0.8,2.66,0.021596,0,0.5263,29.5396,113.0155,0.659206
3678.936,8.5,0.109016,0,0,0.2179,115,14,0,0,0,1.79,2.45,0,0.207531,0.207531,0.8,2.66,0.0215954,0,0.5253,21.1692,113.0191,0.659961
3679.0884,8.5,0.109254,0,0,0.19,115,14,0,0,0,1.79,2.45,0,0.219844,0.219844,0.8,2.66,0.0215949,0,0.497,23.4273,113.0228,0.660716
3679.2408,8.5,0.107949,0,0,0.2573,115,14,0,0,0,1.79,2.45,0,0.222035,0.222035,0.8,2.66,0.0215943,0,0.4862,47.2069,113.0264,0.661471
3679.3932,8.5,0.107712,0,0,0.2037,115,14,0,0,0,1.79,2.45,0,0.22365,0.22365,0.8,2.66,0.0215937,0,0.4816,47.0962,113.03,0.662226
3679.5456,8.5,0.109191,0,0,0.3011,115,14,0,0,0,1.79,2.45,0,0.227405,0.227405,0.8,2.66,0.0215931,0,0.4802,35.1828,113.0337,0.662981
3679.698,8.5,0.10861,0,0,0.2699,115,14,0,0,0,1.79,2.45,0,0.210818,0.210818,0.8,2.66,0.0215925,0,0.5152,41.2658,113.0373,0.663736
3679.8504,8.5,0.105571,0,0,0.3003,115,14,0,0,0,1.79,2.45,0,0.180764,0.180764,0.8,2.66,0.0215919,0,0.584,45.4547,113.0409,0.664491
3680.0028,8.5,0.107822,0,0,0.2689,115,14,0,0,0,1.79,2.45,0,0.191891,0.191891,0.8,2.66,0.0215914,0,0.5619,38.8284,113.0446,0.665246
3680.1552,8.5,0.111043,0,0,0.2318,115,14,0,0,0,1.79,2.45,0,0.217105,0.217105,0.8,2.66,0.0215908,0,0.5115,25.4888,113.0482,0.666001
3680.3076,8.5,0.111612,0,0,0.3345,115,14,0,0,0,1.79,2.45,0,0.225773,0.225773,0.8,2.66,0.0215902,0,0.4944,32.7559,113.0518,0.666756
3680.46,8.5,0.111522,0,0,0.1574,115,14,0,0,0,1.79,2.45,0,0.226878,0.226878,0.8,2.66,0.0215896,0,0.4916,45.8848,113.0555,0.667511
3680.6124,8.5,0.111876,0,0,0.297,115,14,0,0,0,1.79,2.45,0,0.231166,0.231166,0.8,2.66,0.021589,0,0.484,32.5704,113.0591,0.668267
3680.7648,8.5,0.110867,0,0,0.1719,115,14,0,0,0,1.79,2.45,0,0.22797,0.22797,0.8,2.66,0.0215884,0,0.4863,41.5954,113.0627,0.669022
3680.9172,8.5,0.109263,0,0,0.2341,115,14,0,0,0,1.79,2.45,0,0.222066,0.222066,0.8,2.66,0.0215879,0,0.492,44.2071,113.0664,0.669777
3681.0696,8.5,0.109654,0,0,0.2578,115,14,0,0,0,1.79,2.45,0,0.232218,0.232218,0.8,2.66,0.0215873,0,0.4722,47.4618,113.07,0.670532
3681.222,8.5,0.106558,0,0,0.1976,115,14,0,0,0,1.79,2.45,0,0.216193,0.216193,0.8,2.66,0.0215867,0,0.4929,48.424,113.0736,0.671287
3681.3744,8.5,0.106822,0,0,0.3538,115,14,0,0,0,1.79,2.45,0,0.224162,0.224162,0.8,2.66,0.0215861,0,0.4765,53.0174,113.0773,0.672042
3681.5268,8.5,0.104989,0,0,0.1947,115,14,0,0,0,1.79,2.45,0,0.211877,0.211877,0.8,2.66,0.0215855,0,0.4955,52.4289,113.0809,0.672797
3681.6792,8.5,0.1059,0,0,0.1983,115,14,0,0,0,1.79,2.45,0,0.21879,0.21879,0.8,2.66,0.0215849,0,0.484,72.5133,113.0845,0.673552
3681.8316,8.5,0.106323,0,0,0.1776,115,14,0,0,0,1.79,2.45,0,0.223101,0.223101,0.8,2.66,0.0215844,0,0.4766,59.3575,113.0882,0.674307
3681.984,8.5,0.105895,0,0,0.1578,115,14,0,0,0,1.79,2.45,0,0.221512,0.221512,0.8,2.66,0.0215838,0,0.4781,36.4995,113.0918,0.675062
3682.1364,8.5,0.107159,0,0,0.1227,115,14,0,0,0,1.79,2.45,0,0.232751,0.232751,0.8,2.66,0.0215832,0,0.4604,50.3993,113.0954,0.675817
3682.2888,8.5,0.105397,0,0,0.1878,115,14,0,0,0,1.79,2.45,0,0.218872,0.218872,0.8,2.66,0.0215826,0,0.4815,42.036,113.0991,0.676572
3682.4412,8.5,0.106302,0,0,0.339,115,14,0,0,0,1.79,2.45,0,0.225244,0.225244,0.8,2.66,0.021582,0,0.4719,58.5884,113.1027,0.677327
3682.5936,8.5,0.103468,0,0,0.3106,115,14,0,0,0,1.79,2.45,0,0.204384,0.204384,0.8,2.66,0.0215815,0,0.5062,57.5763,113.1063,0.678082
3682.746,8.5,0.104798,0,0,0.1935,115,14,0,0,0,1.79,2.45,0,0.219296,0.219296,0.8,2.66,0.0215809,0,0.4779,52.2616,113.1099,0.678838
3682.8984,8.5,0.103569,0,0,0.2525,115,14,0,0,0,1.79,2.45,0,0.221497,0.221497,0.8,2.66,0.0215803,0,0.4676,74.8591,113.1136,0.679593
3683.0508,8.5,0.103415,0,0,0.173,115,14,0,0,0,1.79,2.45,0,0.238642,0.238642,0.8,2.66,0.0215797,0,0.4333,76.1532,113.1172,0.680348
3683.2032,8.5,0.09964,0,0,0.2259,115,14,0,0,0,1.79,2.45,0,0.223715,0.223715,0.8,2.66,0.0215791,0,0.4454,110.5255,113.1208,0.681103
3683.3556,8.5,0.098933,0,0,0.3788,115,14,0,0,0,1.79,2.45,0,0.224727,0.224727,0.8,2.66,0.0215785,0,0.4402,88.7924,113.1245,0.681858
3683.508,8.5,0.102452,0,0,0.1646,115,14,0,0,0,1.79,2.45,0,0.25472,0.25472,0.8,2.66,0.021578,0,0.4022,114.0026,113.1281,0.682613
3683.6604,8.5,0.103085,0,0,0.2102,115,14,0,0,0,1.79,2.45,0,0.258587,0.258587,0.8,2.66,0.0215774,0,0.3986,65.3058,113.1317,0.683368
3683.8128,8.5,0.102663,0,0,0.1432,115,14,0,0,0,1.79,2.45,0,0.254854,0.254854,0.8,2.66,0.0215768,0,0.4028,74.8023,113.1353,0.684123
3683.9652,8.5,0.100774,0,0,0.2163,115,14,0,0,0,1.79,2.45,0,0.24038,0.24038,0.8,2.66,0.0215762,0,0.4192,100.0275,113.139,0.684878
3684.1176,8.5,0.101666,0,0,0.2418,115,14,0,0,0,1.79,2.45,0,0.255853,0.255853,0.8,2.66,0.0215756,0,0.3974,73.1243,113.1426,0.685633
3684.27,8.5,0.10061,0,0,0.4123,115,14,0,0,0,1.79,2.45,0,0.25752,0.25752,0.8,2.66,0.0215751,0,0.3907,76.3343,113.1462,0.686388
3684.4224,8.5,0.09799,0,0,0.1778,115,14,0,0,0,1.79,2.45,0,0.244139,0.244139,0.8,2.66,0.0215745,0,0.4014,85.3856,113.1499,0.687143
3684.5748,8.5,0.09618,0,0,0.1915,115,14,0,0,0,1.79,2.45,0,0.238731,0.238731,0.8,2.66,0.0215739,0,0.4029,65.9284,113.1535,0.687898
3684.7272,8.5,0.094422,0,0,0.2243,115,14,0,0,0,1.79,2.45,0,0.23871,0.23871,0.8,2.66,0.0215733,0,0.3956,77.6144,113.1571,0.688653
3684.8796,8.5,0.095737,0,0,0.226,115,14,0,0,0,1.79,2.45,0,0.276196,0.276196,0.8,2.66,0.0215727,0,0.3466,52.0471,113.1607,0.689409
3685.032,8.5,0.094144,0,0,0.1623,115,14,0,0,0,1.79,2.45,0,0.284377,0.284377,0.8,2.66,0.0215722,0,0.3311,66.5445,113.1644,0.690164
3685.1844,8.5,0.096716,0,0,0.1978,115,14,0,0,0,1.79,2.45,0,0.32243,0.32243,0.8,2.66,0.0215716,0,0.3,44.6061,113.168,0.690919
3685.3368,8.5,0.094324,0,0,0.2575,115,14,0,0,0,1.79,2.45,0,0.273313,0.273313,0.8,2.66,0.021571,0,0.3451,53.3872,113.1716,0.691674
3685.4892,8.5,0.098086,0,0,0.1181,115,14,0,0,0,1.79,2.45,0,0.281687,0.281687,0.8,2.66,0.0215704,0,0.3482,40.1682,113.1752,0.692429
3685.6416,8.5,0.098622,0,0,0.2368,115,14,0,0,0,1.79,2.45,0,0.264584,0.264584,0.8,2.66,0.0215698,0,0.3727,31.6534,113.1789,0.693184
3685.794,8.5,0.100524,0,0,0.2742,115,14,0,0,0,1.79,2.45,0,0.274691,0.274691,0.8,2.66,0.0215692,0,0.366,23.7601,113.1825,0.693939
3685.9464,8.5,0.100593,0,0,0.191,115,14,0,0,0,1.79,2.45,0,0.267769,0.267769,0.8,2.66,0.0215687,0,0.3757,28.3097,113.1861,0.694694
3686.0988,8.5,0.096918,0,0,0.3427,115,14,0,0,0,1.79,2.45,0,0.217939,0.217939,0.8,2.66,0.0215681,0,0.4447,29.3498,113.1897,0.695449
3686.2512,8.5,0.100623,0,0,0.306,115,14,0,0,0,1.79,2.45,0,0.229055,0.229055,0.8,2.66,0.0215675,0,0.4393,23.5127,113.1934,0.696204
3686.4036,8.5,0.103594,0,0,0.4882,115,14,0,0,0,1.79,2.45,0,0.237601,0.237601,0.8,2.66,0.0215669,0,0.436,24.7704,113.197,0.696959
3686.556,8.5,0.104354,0,0,0.2431,115,14,0,0,0,1.79,2.45,0,0.231744,0.231744,0.8,2.66,0.0215663,0,0.4503,24.1216,113.2006,0.697714
3686.7084,8.5,0.102869,0,0,0.2478,115,14,0,0,0,1.79,2.45,0,0.209764,0.209764,0.8,2.66,0.0215658,0,0.4904,24.2419,113.2042,0.698469
3686.8608,8.5,0.104154,0,0,0.3024,115,14,0,0,0,1.79,2.45,0,0.21182,0.21182,0.8,2.66,0.0215652,0,0.4917,20.6463,113.2079,0.699224
3687.0132,8.5,0.101001,0,0,0.1958,115,14,0,0,0,1.79,2.45,0,0.186659,0.186659,0.8,2.66,0.0215646,0,0.5411,17.9395,113.2115,0.699979
3687.1656,8.5,0.104586,0,0,0.2024,115,14,0,0,0,1.79,2.45,0,0.217084,0.217084,0.8,2.66,0.021564,0,0.4818,21.6761,113.2151,0.700735
3687.318,8.5,0.105842,0,0,0.2105,115,14,0,0,0,1.79,2.45,0,0.237554,0.237554,0.8,2.66,0.0215634,0,0.4455,18.4309,113.2187,0.70149
3687.4704,8.5,0.10354,0,0,0.2056,115,14,0,0,0,1.79,2.45,0,0.229066,0.229066,0.8,2.66,0.0215629,0,0.452,27.7549,113.2224,0.702245
3687.6228,8.5,0.102392,0,0,0.155,115,14,0,0,0,1.79,2.45,0,0.225819,0.225819,0.8,2.66,0.0215623,0,0.4534,32.8482,113.226,0.703
3687.7752,8.5,0.100556,0,0,0.2079,115,14,0,0,0,1.79,2.45,0,0.212954,0.212954,0.8,2.66,0.0215617,0,0.4722,42.0967,113.2296,0.703755
3687.9276,8.5,0.100896,0,0,0.2699,115,14,0,0,0,1.79,2.45,0,0.215045,0.215045,0.8,2.66,0.0215611,0,0.4692,51.1126,113.2332,0.70451
3688.08,8.5,0.100856,0,0,0.3378,115,14,0,0,0,1.79,2.45,0,0.213983,0.213983,0.8,2.66,0.0215605,0,0.4713,53.4608,113.2368,0.705265
3688.2324,8.5,0.100273,0,0,0.1781,115,14,0,0,0,1.79,2.45,0,0.210765,0.210765,0.8,2.66,0.02156,0,0.4758,91.8813,113.2405,0.70602
3688.3848,8.5,0.099471,0,0,0.2466,115,14,0,0,0,1.79,2.45,0,0.208611,0.208611,0.8,2.66,0.0215594,0,0.4768,141.4084,113.2441,0.706775
3688.5372,8.5,0.099553,0,0,0.2085,115,14,0,0,0,1.79,2.45,0,0.214493,0.214493,0.8,2.66,0.0215588,0,0.4641,182.8078,113.2477,0.70753
